Imputation,Mechanism,Model,Metric,Fold,Value,SE,CI_Lower,CI_Upper
MICE (pooled),full,GradientBoosting,C-index (CV),9,0.68828125,0.1292844829786719,0.43488366336180306,0.9416788366381968
MICE (pooled),full,GradientBoosting,C-index (CV),10,0.7232876712328767,0.1750894471564056,0.3801123548063218,1.0664629876594316
MICE (pooled),full,GradientBoosting,C-index (Test),Test,0.7065573770491803,0.11161193825200366,0.48779797807525316,0.9253167760231075
MICE (pooled),full,GradientBoosting,IBS (Test),Test,0.10528855323156731,0.03273774141328756,0.04112258006152371,0.1694545264016109
MICE (pooled),full,DeepSurv,C-index (CV),1,0.7532467532467534,0.11549682950294313,0.5268729674209849,0.9796205390725219
MICE (pooled),full,DeepSurv,C-index (CV),2,0.8514851485148516,0.10927481950488732,0.6373065022852724,1.0656637947444307
MICE (pooled),full,DeepSurv,C-index (CV),3,0.8946745562130177,0.11858702691389805,0.6622439834617775,1.127105128964258
MICE (pooled),full,DeepSurv,C-index (CV),4,0.7127659574468085,0.1329404200154324,0.452202734216561,0.973329180677056
MICE (pooled),full,DeepSurv,C-index (CV),5,0.6490909090909092,0.15221776484328067,0.35074408999807904,0.9474377281837393
MICE (pooled),full,DeepSurv,C-index (CV),6,0.8575757575757574,0.11146408580454255,0.639106149398854,1.0760453657526607
MICE (pooled),full,DeepSurv,C-index (CV),7,0.6704761904761904,0.12329931503635927,0.4288095330049263,0.9121428479474546
MICE (pooled),full,DeepSurv,C-index (CV),8,0.8392638036809815,0.12430392590020548,0.5956281089165788,1.0828994984453844
MICE (pooled),full,DeepSurv,C-index (CV),9,0.5515625,0.11930380730513171,0.31772703768194177,0.7853979623180581
MICE (pooled),full,DeepSurv,C-index (CV),10,0.5452054794520549,0.24421626437816707,0.06654160127084746,1.0238693576332623
MICE (pooled),full,DeepSurv,C-index (Test),Test,0.5693989071038251,0.2299975267540899,0.11860375466580891,1.0201940595418413
MICE (pooled),mar,RSF,C-index (CV),1,0.588,0.122245654319489,0.3483985175338015,0.8276014824661984
MICE (pooled),mar,RSF,C-index (CV),2,0.5133858267716536,0.16026668827558252,0.19926311775151184,0.8275085357917953
MICE (pooled),mar,RSF,C-index (CV),3,0.46574074074074073,0.15767406607020418,0.15669957124314055,0.7747819102383409
MICE (pooled),mar,RSF,C-index (CV),4,0.6229885057471265,0.17063449706720418,0.2885448914954063,0.9574321199988467
MICE (pooled),mar,RSF,C-index (CV),5,0.567741935483871,0.12502591553144665,0.3226911410422355,0.8127927299255064
MICE (pooled),mar,RSF,C-index (CV),6,0.6941747572815535,0.12185916441734355,0.45533079502356016,0.933018719539547
MICE (pooled),mar,RSF,C-index (CV),7,0.4056451612903226,0.13205876013741857,0.14680999142098217,0.664480331159663
MICE (pooled),mar,RSF,C-index (CV),8,0.5373626373626373,0.23023748259984467,0.08609717146694179,0.9886281032583328
MICE (pooled),mar,RSF,C-index (CV),9,0.6986666666666667,0.1362742333189465,0.4315691693615315,0.9657641639718018
